Time [s],Channel 0
0.968768250,0
0.969264667,1
0.969266917,0
0.969763167,1
0.969765417,0
0.970261667,1
0.970263833,0
0.970660333,1
0.970662583,0
0.971158833,1
0.971161083,0
0.971657333,1
0.971659583,0
0.972155750,1
0.972158000,0
0.972554417,1
0.972556667,0
0.973052583,1
0.973054833,0
0.973550750,1
0.973553000,0
0.974049167,1
0.974051417,0
0.974447833,1
0.974450083,0
0.974946167,1
0.974948417,0
0.975444417,1
0.975446667,0
0.975942667,1
0.975944917,0
0.976441000,1
0.976443250,0
0.976839667,1
0.976841917,0
0.977338000,1
0.977340167,0
0.977836417,1
0.977838667,0
0.978334667,1
0.978336833,0
0.978833167,1
0.978835417,0
0.979231917,1
0.979234083,0
0.979730250,1
0.979732500,0
0.980228750,1
0.980231000,0
0.980727167,1
0.980729417,0
0.981225583,1
0.981227833,0
0.981624333,1
0.981626583,0
0.982122750,1
0.982125000,0
0.982621250,1
0.982623417,0
0.983119750,1
0.983122000,0
0.983618250,1
0.983620417,0
0.984017083,1
0.984019250,0
0.984515583,1
0.984517833,0
0.985014250,1
0.985016417,0
0.985512917,1
0.985515083,0
0.986011500,1
0.986013750,0
0.986510083,1
0.986512333,0
0.986909083,1
0.986911333,0
0.987407750,1
0.987409917,0
0.987906333,1
0.987908583,0
0.988405000,1
0.988407167,0
0.988903667,1
0.988905917,0
